Data;ID AZ;Cow;Lattazione;GIM;Produz.;Grasso;Proteine;Urea;CN;BHB;SCC
01/10/2024;1410;IT015990520450;3;15;36,9;4,52;3,45;18,3;2,73;0,05;45
01/10/2024;1596;IT015990553416;2;6;44,3;4,3;3,3;20;2,64;0,08;44
01/10/2024;899;IT015990436869;5;15;28;4,61;3,24;21,5;2,55;0,03;43
01/10/2024;678;IT015990415608;6;20;35,4;3,67;3,03;8,3;2,36;0,03;42
01/10/2024;652;IT015990415582;4;138;39,2;6,54;3;24,8;2,38;;36
01/10/2024;1615;IT015990553435;2;182;31,9;2,93;3,16;14,6;2,49;0,01;36
01/10/2024;1480;IT015990520520;2;223;32,6;3;2,87;13,5;2,22;0,02;35
01/10/2024;1613;IT015990553433;2;210;34,3;4,24;3,49;11,7;2,82;;34
01/10/2024;1845;IT015990581605;1;13;27,1;5,66;2,99;16,4;2,28;0,06;32
01/10/2024;1717;IT015990553537;2;22;32,2;4,71;2,75;16,1;2,13;0,04;29
01/10/2024;1227;IT015990490907;4;11;35,9;3,66;3,28;15,3;2,58;0,05;27
01/10/2024;1642;IT015990553462;2;75;43,5;3,68;3,32;13,7;2,63;;19
01/10/2024;1362;IT015990520402;3;73;46,5;4,56;2,73;20;2,11;;15
01/10/2024;1569;IT015990553389;2;76;50,2;3,97;3,08;19,9;2,42;0,01;14
01/10/2024;1561;IT015990553381;2;18;46,9;3,96;2,85;14,4;2,24;0,06;12
01/10/2024;573;IT015990370613;6;25;37,8;4,05;2,89;11,9;2,26;0,02;12
01/10/2024;988;IT015990436958;4;95;40,6;3,44;2,76;13,9;2,19;0,06;12
01/10/2024;1579;IT015990553399;2;92;31,7;3,58;2,79;21,5;2,15;;11
01/10/2024;1330;IT015990491010;3;36;43,2;2,61;3,02;12,9;2,36;;9
